Count: 778  Distance: 51
Count: 779  Distance: 51
Count: 780  Distance: 51
Count: 781  Distance: 51
Count: 782  Distance: 51
Count: 783  Distance: 51
Count: 784  Distance: 50
Count: 785  Distance: 51
Count: 786  Distance: 51
Count: 787  Distance: 51
Count: 788  Distance: 51
Count: 789  Distance: 51
Count: 790  Distance: 51
Count: 791  Distance: 52
Count: 792  Distance: 51
Count: 793  Distance: 52
Count: 794  Distance: 51
Count: 795  Distance: 52
Count: 796  Distance: 51
Count: 797  Distance: 52
Count: 798  Distance: 51
Count: 799  Distance: 52
Count: 800  Distance: 52
Count: 801  Distance: 52
Count: 802  Distance: 53
Count: 803  Distance: 52
Count: 804  Distance: 52
Count: 805  Distance: 52
Count: 806  Distance: 52
Count: 807  Distance: 52
Count: 808  Distance: 51
Count: 809  Distance: 52
Count: 810  Distance: 51
Count: 811  Distance: 51
Count: 812  Distance: 51
Count: 813  Distance: 51
Count: 814  Distance: 51
Count: 815  Distance: 51
Count: 816  Distance: 51
Count: 817  Distance: 51
Count: 818  Distance: 51
Count: 819  Distance: 51
Count: 820  Distance: 51
Count: 821  Distance: 52
Count: 822  Distance: 51
Count: 823  Distance: 51
Count: 824  Distance: 51
Count: 825  Distance: 50
Count: 826  Distance: 51
Count: 827  Distance: 52
Count: 828  Distance: 51
Count: 829  Distance: 51
Count: 830  Distance: 51
Count: 831  Distance: 50
Count: 832  Distance: 51
Count: 833  Distance: 51
Count: 834  Distance: 52
Count: 835  Distance: 51
Count: 836  Distance: 51
Count: 837  Distance: 51
Count: 838  Distance: 50
Count: 839  Distance: 51
Count: 840  Distance: 51
Count: 841  Distance: 51
Count: 842  Distance: 51
Count: 843  Distance: 51
Count: 844  Distance: 51
Count: 845  Distance: 51
Count: 846  Distance: 51
Count: 847  Distance: 51
Count: 848  Distance: 51
Count: 849  Distance: 52
Count: 850  Distance: 51
Count: 851  Distance: 52
Count: 852  Distance: 51
Count: 853  Distance: 52
Count: 854  Distance: 52
Count: 855  Distance: 52
Count: 856  Distance: 52
Count: 857  Distance: 52
Count: 858  Distance: 52
Count: 859  Distance: 52
Count: 860  Distance: 51
Count: 861  Distance: 51
Count: 862  Distance: 51
Count: 863  Distance: 51
Count: 864  Distance: 51
Count: 865  Distance: 51
Count: 866  Distance: 51
Count: 867  Distance: 52
Count: 868  Distance: 51
Count: 869  Distance: 52
Count: 870  Distance: 51
Count: 871  Distance: 51
Count: 872  Distance: 51
Count: 873  Distance: 51
Count: 874  Distance: 51
Count: 875  Distance: 51
Count: 876  Distance: 52
Count: 877  Distance: 52
Count: 878  Distance: 51
Count: 879  Distance: 51
Count: 880  Distance: 51
Count: 881  Distance: 51
Count: 882  Distance: 51
Count: 883  Distance: 51
Count: 884  Distance: 51
Count: 885  Distance: 51
Count: 886  Distance: 51
Count: 887  Distance: 51
Count: 888  Distance: 51
Count: 889  Distance: 52
Count: 890  Distance: 51
Count: 891  Distance: 51
Count: 892  Distance: 52
Count: 893  Distance: 51
Count: 894  Distance: 51
Count: 895  Distance: 51
Count: 896  Distance: 51
Count: 897  Distance: 51
Count: 898  Distance: 51
Count: 899  Distance: 51
Count: 900  Distance: 51
Count: 901  Distance: 51
Count: 902  Distance: 51
Count: 903  Distance: 51
Count: 904  Distance: 51
Count: 905  Distance: 51
Count: 906  Distance: 51
Count: 907  Distance: 51
Count: 908  Distance: 51
Count: 909  Distance: 51
Count: 910  Distance: 51
Count: 911  Distance: 51
Count: 912  Distance: 52
Count: 913  Distance: 51
Count: 914  Distance: 51
Count: 915  Distance: 51
Count: 916  Distance: 51
Count: 917  Distance: 52
Count: 918  Distance: 51
Count: 919  Distance: 51
Count: 920  Distance: 51
Count: 921  Distance: 51
Count: 922  Distance: 51
Count: 923  Distance: 51
Count: 924  Distance: 51
Count: 925  Distance: 51
Count: 926  Distance: 51
Count: 927  Distance: 52
Count: 928  Distance: 51
Count: 929  Distance: 51
Count: 930  Distance: 51
Count: 931  Distance: 51
Count: 932  Distance: 51
Count: 933  Distance: 51
Count: 934  Distance: 51
Count: 935  Distance: 51
Count: 936  Distance: 51
Count: 937  Distance: 52
Count: 938  Distance: 50
Count: 939  Distance: 50
Count: 940  Distance: 49
Count: 941  Distance: 51
Count: 942  Distance: 50
Count: 943  Distance: 50
Count: 944  Distance: 50
Count: 945  Distance: 51
Count: 946  Distance: 51
Count: 947  Distance: 51
